2026-07-17 18:54:01 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Inspection performance: {'schema_version': 1, 'measurement_scope': 'host_wall_clock', 'stages_sec': {'aggregation': 6e-06, 'detectors_total': 0.014871, 'image_load': 0.011651, 'initialization': 4.1e-05, 'recipe_setup': 0.003121, 'reporting_total': 0.003052, 'tiling': 3.7e-05, 'python_tile_detector_loop': 3.5e-05}, 'detectors_sec': {'401-1': 0.014836}, 'detector_stages_sec': {'401-1': {'find_contours': 0.000805, 'geometry_analysis': 0.009729, 'preprocess': 0.000434}}, 'reporting_sec': {}, 'end_to_end_sec': 0.034126}
2026-07-17 18:54:01 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Inspection started: image=C:\Users\王\AppData\Local\Temp\visionflow_cpu_fallback_wm56jb3t\input.png recipe=C:\Users\王\AppData\Local\Temp\visionflow_cpu_fallback_wm56jb3t\fallback.yaml output=C:\Users\王\AppData\Local\Temp\visionflow_cpu_fallback_wm56jb3t\fallback_output debug=False
2026-07-17 18:54:01 | WARNING  | aoi.core.pipeline.AOIPipeline | MainThread | CUDA requested; falling back to CPU: CUDA DLL not found: C:\Users\王\AppData\Local\Temp\visionflow_cpu_fallback_wm56jb3t\definitely_missing.dll
2026-07-17 18:54:01 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Recipe loaded: name=GPU_OBSERVABILITY_TEST version=1.0.0
2026-07-17 18:54:01 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Image loaded: image=C:\Users\王\AppData\Local\Temp\visionflow_cpu_fallback_wm56jb3t\input.png shape=(128, 128, 3)
2026-07-17 18:54:01 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Detectors initialized: count=1 ids=['401-1']
2026-07-17 18:54:01 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Tiles prepared: count=4 mode=grid
2026-07-17 18:54:01 | WARNING  | aoi.core.pipeline.AOIPipeline | MainThread | Detector CUDA fallback: {'401-1': 'CUDA DLL not found: C:\\Users\\王\\AppData\\Local\\Temp\\visionflow_cpu_fallback_wm56jb3t\\definitely_missing.dll'}
2026-07-17 18:54:01 | INFO     | aoi.core.reporter.Reporter | MainThread | Writing report outputs: image=input.png base=input_GPU_OBSERVABILITY_TEST_20260717_185401_821050_25d050d6
2026-07-17 18:54:01 | INFO     | aoi.core.reporter.Reporter | MainThread | Report outputs written: outputs={}
2026-07-17 18:54:01 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Inspection completed: image=input.png final=NG defects=334 ng_tiles=4 duration=0.023s
2026-07-17 18:54:01 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Inspection performance: {'schema_version': 1, 'measurement_scope': 'host_wall_clock', 'stages_sec': {'aggregation': 7e-06, 'detectors_total': 0.014619, 'image_load': 0.000502, 'initialization': 3.5e-05, 'recipe_setup': 0.007026, 'reporting_total': 0.001372, 'tiling': 3.2e-05, 'python_tile_detector_loop': 3.2e-05}, 'detectors_sec': {'401-1': 0.014586}, 'detector_stages_sec': {'401-1': {'find_contours': 0.000759, 'geometry_analysis': 0.009562, 'preprocess': 0.00041}}, 'reporting_sec': {}, 'end_to_end_sec': 0.024701}
2026-07-17 18:54:01 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | CUDA host metrics: {'measurement_scope': 'host_wrapper_and_optional_cuda_events', 'note': 'Native timings describe the most recent persistent-context operation when the DLL exports them.', 'load_sec': 7.4e-05, 'call_count': 0, 'estimated_round_trips': 0, 'host_to_device_bytes': 0, 'device_to_host_bytes': 0, 'wall_sec': 0.0, 'lock_wait_sec': 0.0, 'persistent_context': {'active': False, 'reserved_bytes': 0, 'allocation_count': 0}, 'native_timings_ms': None, 'functions': {}}
2026-07-17 18:54:01 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Inspection started: image=C:\Users\王\AppData\Local\Temp\visionflow_strict_gpu_v3uqx5x6\image_is_not_read.png recipe=C:\Users\王\AppData\Local\Temp\visionflow_strict_gpu_v3uqx5x6\strict_gpu.yaml output=C:\Users\王\AppData\Local\Temp\visionflow_strict_gpu_v3uqx5x6\output debug=False
2026-07-17 18:54:01 | INFO     | aoi.core.batch_processor.BatchInspectionProcessor | MainThread | Batch inspection started: input=C:\Users\王\AppData\Local\Temp\visionflow_batch_session_kx_3y7vs recipe=C:\Users\王\Desktop\AOI_CVbased\recipes\PRODUCT_A_NEGATIVE_401_AOI_01.yaml output=C:\Users\王\AppData\Local\Temp\visionflow_batch_session_kx_3y7vs\output\batch\20260717_185401 images=2 recursive=False
2026-07-17 18:54:01 | INFO     | aoi.core.batch_processor.BatchInspectionProcessor | MainThread | Batch inspection completed: summary={'total': 2, 'pass': 2, 'ng': 0, 'error': 0, 'defects': 0, 'tiles': 2, 'ng_tiles': 0}
2026-07-17 18:54:01 | INFO     | aoi.core.monitor_processor.FolderMonitorProcessor | MainThread | Monitor image started: image=C:\Users\王\AppData\Local\Temp\visionflow_monitor_session_dvprb4xf\image.png
2026-07-17 18:54:01 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Inspection started: image=C:\Users\王\Desktop\AOI_CVbased\tmp_validation_input.png recipe=C:\Users\王\Desktop\AOI_CVbased\recipes\PRODUCT_A_NEGATIVE_401_AOI_01.yaml output=C:\Users\王\AppData\Local\Temp\visionflow_resident_pipeline_cps5gu1k debug=False
2026-07-17 18:54:01 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | CUDA DLL active: path=fake_resident.dll device=fake capability=8.6
2026-07-17 18:54:01 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Recipe loaded: name=PRODUCT_A_NEGATIVE_401_AOI_01 version=0.1.0
2026-07-17 18:54:01 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Image loaded: image=C:\Users\王\Desktop\AOI_CVbased\tmp_validation_input.png shape=(1300, 1200, 3)
2026-07-17 18:54:01 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Detectors initialized: count=1 ids=['401']
2026-07-17 18:54:01 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Tiles prepared: count=9 mode=grid
2026-07-17 18:54:01 | INFO     | aoi.core.reporter.Reporter | MainThread | Writing report outputs: image=tmp_validation_input.png base=tmp_validation_input_PRODUCT_A_NEGATIVE_401_AOI_01_20260717_185401_894050_0354f15e
2026-07-17 18:54:01 | INFO     | aoi.core.reporter.Reporter | MainThread | Report outputs written: outputs={}
2026-07-17 18:54:01 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Inspection completed: image=tmp_validation_input.png final=PASS defects=0 ng_tiles=0 duration=0.024s
2026-07-17 18:54:01 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Inspection performance: {'schema_version': 1, 'measurement_scope': 'host_wall_clock', 'stages_sec': {'aggregation': 6e-06, 'detectors_total': 8.6e-05, 'image_load': 0.020217, 'initialization': 4.9e-05, 'recipe_setup': 0.000239, 'reporting_total': 0.001715, 'tiling': 0.002325, 'python_tile_detector_loop': 2.8e-05}, 'detectors_sec': {'401': 5.8e-05}, 'detector_stages_sec': {}, 'reporting_sec': {}, 'end_to_end_sec': 0.025791}
2026-07-17 18:54:01 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | CUDA host metrics: {'call_count': 1, 'functions': {}}
2026-07-17 18:54:01 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Inspection started: image=C:\Users\王\Desktop\AOI_CVbased\tmp_validation_input.png recipe=C:\Users\王\Desktop\AOI_CVbased\recipes\PRODUCT_A_NEGATIVE_401_AOI_01.yaml output=C:\Users\王\AppData\Local\Temp\visionflow_gpu_session_7i7t97mz\first debug=False
2026-07-17 18:54:01 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Recipe loaded: name=PRODUCT_A_NEGATIVE_401_AOI_01 version=0.1.0
2026-07-17 18:54:01 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Image loaded: image=C:\Users\王\Desktop\AOI_CVbased\tmp_validation_input.png shape=(1300, 1200, 3)
2026-07-17 18:54:01 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Detectors initialized: count=1 ids=['401']
2026-07-17 18:54:01 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Tiles prepared: count=9 mode=grid
2026-07-17 18:54:01 | INFO     | aoi.core.reporter.Reporter | MainThread | Writing report outputs: image=tmp_validation_input.png base=tmp_validation_input_PRODUCT_A_NEGATIVE_401_AOI_01_20260717_185401_926049_800cb196
2026-07-17 18:54:01 | INFO     | aoi.core.reporter.Reporter | MainThread | Report outputs written: outputs={}
2026-07-17 18:54:01 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Inspection completed: image=tmp_validation_input.png final=PASS defects=0 ng_tiles=0 duration=0.026s
2026-07-17 18:54:01 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Inspection performance: {'schema_version': 1, 'measurement_scope': 'host_wall_clock', 'stages_sec': {'aggregation': 6e-06, 'detectors_total': 0.008189, 'image_load': 0.012262, 'initialization': 4.2e-05, 'recipe_setup': 0.002129, 'reporting_total': 0.001191, 'tiling': 0.002207, 'python_tile_detector_loop': 5.6e-05}, 'detectors_sec': {'401': 0.008132}, 'detector_stages_sec': {'401': {'find_contours': 0.000202, 'geometry_analysis': 1.3e-05, 'preprocess': 0.007504}}, 'reporting_sec': {}, 'end_to_end_sec': 0.027135}
2026-07-17 18:54:01 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Inspection started: image=C:\Users\王\Desktop\AOI_CVbased\tmp_validation_input.png recipe=C:\Users\王\Desktop\AOI_CVbased\recipes\PRODUCT_A_NEGATIVE_401_AOI_01.yaml output=C:\Users\王\AppData\Local\Temp\visionflow_gpu_session_7i7t97mz\second debug=False
2026-07-17 18:54:01 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Recipe loaded: name=PRODUCT_A_NEGATIVE_401_AOI_01 version=0.1.0
2026-07-17 18:54:01 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Image loaded: image=C:\Users\王\Desktop\AOI_CVbased\tmp_validation_input.png shape=(1300, 1200, 3)
2026-07-17 18:54:01 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Detectors initialized: count=1 ids=['401']
2026-07-17 18:54:01 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Tiles prepared: count=9 mode=grid
2026-07-17 18:54:01 | INFO     | aoi.core.reporter.Reporter | MainThread | Writing report outputs: image=tmp_validation_input.png base=tmp_validation_input_PRODUCT_A_NEGATIVE_401_AOI_01_20260717_185401_954050_d57964d4
2026-07-17 18:54:01 | INFO     | aoi.core.reporter.Reporter | MainThread | Report outputs written: outputs={}
2026-07-17 18:54:01 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Inspection completed: image=tmp_validation_input.png final=PASS defects=0 ng_tiles=0 duration=0.026s
